AGETL,PROGRAM_NAME,RPT_FISCAL_YR,ACTIVE,AMT_PROG_OL,AMT_IP,AMT_OVER_PAYMT,AMT_UNDER_PAYMT,AMT_YR_ONE_OL,AMT_YR_ONE_IP,AMT_YR_TWO_OL,AMT_YR_TWO_IP,AMT_YR_THREE_OL,AMT_YR_THREE_IP
Department of Agriculture,Federal Crop Insurance,2004,A,2500,125,0,0,3170,28,3208,62,3184,156
Department of Agriculture,Supplemental Nutrition Assistance Program (SNAP),2004,A,24298,1613,1227,386,24128,1432,28160,1645,29169,1896
Department of Defense--Military Programs,Military Health Benefits,2004,A,4600,100.1,0,0,7500,150,7000,140,9000,180
Department of Defense--Military Programs,Military Retirement Benefits,2004,A,35800,34.1,0,0,35700,49,35600,49,37800,49
Department of Education,Pell Grants,2004,A,12680,621,393,228,12749,444,12117,422,12825,446
Department of Health and Human Services,HeadStart,2004,A,6555,255,0,0,6865,110,6786,210,6789,95
Department of Health and Human Services,Medicare Fee-for-Service (FFS),2004,A,213546.15,21631.28,20734.34,896.94,214900,16977,246800,10800,315965,13586
Department of Housing and Urban Development,Community Development Block Grant,2004,A,4924,5,0,0,4870,8,4832,4,0,0
Department of Housing and Urban Development,Public Housing / Rental Assistance,2004,A,24581,1707,1010,697,26069,1467,27242,1464,27601,1380
Department of Housing and Urban Development,Single Family Housing,2004,A,382,26,0,0,0,0,0,0,0,0
Department of Labor,Federal Employees Compensation Act (FECA),2004,A,2544,6.4,0,0,2519,3,2555,1,2646,7
Department of Labor,Unemployment Insurance (UI),2004,A,37335,3861,3622,239,32248,3267,30976,3376,33020,3266
Department of the Treasury,Earned Income Tax Credit (EITC),2004,A,39400,9653,0,0,41300,0,42100,0,0,0
Department of Veterans Affairs,Compensation/Dependency & Indemnity,2004,A,24750,256,145,111,26300,305,28960,222.9,29772,221.5
Department of Veterans Affairs,Education,2004,A,2129,52,0,0,2300,59,2661,64,2888,66
Department of Veterans Affairs,Insurances,2004,I,1676,0.26,0,0,1700,0.34,1664,0.33,1679,0.33
Department of Veterans Affairs,Pension,2004,A,3219,284,269,15,3400,283.9,3293,261,3470,273.8
Environmental Protection Agency,Clean & Drinking Water State Revolving Fund (SRF),2004,A,2105,10,0,0,1928,3,1963,4,0,0
National Science Foundation,Research and Education Grants,2004,A,4742,4,0,0,4215,1,0,0,0,0
Office of Personnel Management,Federal Employee Health Benefit Program,2004,A,27200,87,0,0,30691,197,31700,63,0,0
Office of Personnel Management,Federal Employee Life Insurance Program,2004,A,2119,5,2,3,2327,1,1380,1,0,0
Office of Personnel Management,Federal Employee Retirement Programs,2004,A,52300,193,162,31,55612,152,57900,254,60800,267
Small Business Administration,(504) Certified Development Company Debentures (CDC),2004,A,170,0,0,0,3917,0,4274,0,4200,0
